encode=UTF-8
name=韓文綴三
key=ykdjflsierumcownxvz
len=3

commit=0 0 0

[DATA]
ydi $yyyy/$mon/$day $YYYY0-$MON-$DAY
ydn $hour:$min $HOUR:$MIN

k ㄴ
d ㄱ
j ㅇ
f ㄷ
l ㅅ
s ㅁ
i ㄹ
e ㅋ
r ㅌ
u ㅈ
m ㅉ
c ㄸ
o ㅊ
w ㅂ
n ㅎ
x ㄲ
v ㅆ
z ㅍ

kd  니
kf 너
kj 느
ks 나
kl 늬
ke 내
kc 네
km 노
kr 녀
kw 냐
ko 뉴
ku 누
kx 냬
kz 녜
kv 뇨
dk 기
dj 거
df 그
dl 가
ds 긔
di 개
dm 게
dc 고
dr 구
do 갸
dw 규
du 겨
dn 걔
dv 계
dz 교
jd 이
jk 으
jf 어
js 아
jl 의
je 애
ji 우
jc 에
jr 여
jw 야
jo 유
jx 얘
jn 오
jz 예
jv 요
fk 디
fd 드
fj 더
fl 다
fs 듸
fi 대
fe 두
fm 데
fo 댜
fw 듀
fu 뎌
fn 댸
fx 도
fv 뎨
fz 됴
ld 시
lk 스
lf 서
lj 싀
ls 사
le 새
li 수
lc 세
lm 쇼
lr 셔
lw 샤
lu 슈
lx 섀
ln 소
lz 셰
sk 미
sd 므
sj 머
sf 믜
sl 마
si 매
se 무
sm 메
sc 묘
sr 뮤
so 먀
su 며
sn 먜
sx 모
sv 몌
id 리
if 러
ij 르
is 라
il 릐
ie 래
ic 레
ir 려
iw 랴
io 류
iu 루
ix 럐
iz 례
ek 키
ej 커
ef 크
el 카
es 킈
ei 캐
em 케
er 쿠
eo 캬
ew 큐
eu 켜
en 컈
ev 켸
rk 티
rd 트
rj 터
rl 타
rs 틔
ri 태
re 투
rm 테
ro 탸
rw 튜
ru 텨
rn 턔
rv 톄
ud 지
uk 즈
uf 저
us 자
ul 즤
ue 재
ui 주
uc 제
ur 져
uw 쟈
uo 쥬
ux 쟤
uz 졔
md 찌
mk 쯔
mf 쩌
ms 짜
ml 쯰
me 째
mc 쩨
mr 쪄
mw 쨔
mx 쨰
mn 쪼
mz 쪠
mv 쬬
ck 띠
cd 뜨
cj 떠
cl 따
cs 띄
ci 때
cm 떼
co 땨
cu 뗘
cn 떄
cx 또
cv 뗴
cz 뚀
od 치
ok 츠
of 처
oj 츼
os 차
oe 채
oi 추
oc 체
or 쳐
ow 챠
ou 츄
ox 챼
oz 쳬
wk 비
wd 브
wj 버
wf 븨
wl 바
wi 배
we 부
wm 베
wr 뷰
wo 뱌
wu 벼
wn 뱨
wv 볘
nd 히
nf 허
nj 흐
ns 하
nl 희
ne 해
nc 헤
nm 호
nr 혀
nw 햐
nx 햬
nz 혜
nv 효
xk 끼
xj 꺼
xf 끄
xl 까
xs 끠
xi 깨
xm 께
xc 꼬
xo 꺄
xu 껴
xn 꺠
xv 꼐
xz 꾜
vd 씨
vk 쓰
vf 써
vj 씌
vs 싸
ve 쌔
vc 쎄
vm 쑈
vr 쎠
vw 쌰
vx 썌
vn 쏘
vz 쎼
zk 피
zd 프
zj 퍼
zf 픠
zl 파
zi 패
zm 페
zc 표
zo 퍄
zu 펴
zn 퍠
zx 포
zv 폐

kdj 닝
kdf 닏
kdl 닛
kds 님
kdm 닍
kdc 닎
kdr 닡
kdo 닟
kdw 닙
kdu 닞
kdv 닜
kdz 닢
kfd 넉
kfj 넝
kfl 넛
kfs 넘
kfe 넠
kfm 넍
kfo 넟
kfw 넙
kfu 넞
kfx 넊
kfv 넜
kfz 넢
kjd 늑
kjf 늗
kjs 늠
kjl 늣
kje 늨
kjc 늖
kjr 늩
kjw 늡
kjo 늧
kjx 늒
kjz 늪
kjv 늤
ksd 낙
ksj 낭
ksf 낟
ksl 낫
kse 낰
ksm 낝
ksc 낞
ksr 낱
kso 낯
ksu 낮
ksx 낚
ksv 났
kld 늭
klf 늳
klj 닁
kls 늼
kle 닄
klc 늲
klm 늱
klr 닅
klw 늽
klu 닂
klx 늮
klz 닆
kej 냉
kef 낻
kel 냇
kes 냄
kem 낹
ker 냍
keo 냋
kew 냅
keu 냊
kev 냈
kcd 넥
kcj 넹
kcl 넷
kcs 넴
kcm 넩
kco 넻
kcu 넺
kcx 넦
kcv 넸
kcz 넾
kmd 녹
kmf 녿
kms 놈
kml 놋
kme 놐
kmc 녾
kmr 놑
kmw 놉
kmx 녺
kmz 높
kmv 놌
krd 녁
krj 녕
krl 녓
krs 념
kre 녘
krm 녅
kro 녗
krw 녑
kru 녖
krv 녔
kwd 냑
kwj 냥
kwf 냗
kwl 냣
kwe 냨
kwm 냕
kwr 냩
kwo 냧
kwu 냦
kwv 냤
kod 뉵
kof 뉻
koj 늉
kos 늄
koe 늌
koc 뉺
kor 늍
kow 늅
kou 늊
kox 뉶
koz 늎
kud 눅
kuf 눋
kus 눔
kul 눗
kue 눜
kuc 눊
kur 눝
kuw 눕
kuo 눛
kux 눆
kuz 눞
kxj 녱
kxf 냳
kxl 냿
kxs 냼
kxm 냱
kxc 냲
kxo 녳
kxu 넂
kxv 넀
kxz 녶
kzd 녝
kzj 녱
kzf 녣
kzl 녯
kzm 녡
kzc 녢
kzo 녳
kzu 녲
kzx 녞
kzv 녰
kvd 뇩
kvf 뇯
kvj 뇽
kvs 뇸
kve 눀
kvc 뇮
kvm 뇭
kvr 눁
kvw 뇹
kvx 뇪
kvz 눂
dkf 긷
dkj 깅
dks 김
dkl 깃
dkc 긶
dkm 긵
dkr 깉
dkw 깁
dko 깇
dku 깆
dkz 깊
dkv 깄
djk 건
djf 걷
djs 검
djl 것
dji 걸
djc 걶
djr 겉
djw 겁
djo 겇
djn 겋
djz 겊
djv 겄
dfk 근
dfj 긍
dfl 긋
dfs 금
dfi 글
dfm 귽
dfo 긏
dfw 급
dfu 긎
dfn 긓
dfv 긌
dfz 긒
dlk 간
dlf 갇
dlj 강
dls 감
dli 갈
dlc 갆
dlm 갅
dlr 같
dlw 갑
dlu 갖
dln 갛
dlz 갚
dsk 긘
dsj 긩
dsf 긛
dsl 긧
dsi 긜
dsm 긙
dsc 긚
dsr 긭
dso 긫
dsu 긪
dsn 긯
dsv 긨
dif 갣
dij 갱
dis 갬
dil 갯
dic 갢
dir 갵
diw 갭
dio 갳
diu 갲
diz 갶
dmk 겐
dmf 겓
dms 겜
dml 겟
dmc 겒
dmr 겥
dmw 겝
dmn 겧
dmz 겦
dmv 겠
dck 곤
dcj 공
dcl 곳
dcs 곰
dci 골
dcm 곥
dco 곷
dcu 곶
dcn 곻
dcv 곴
dcz 곺
drk 군
drj 궁
drl 굿
drs 굼
dri 굴
drm 굱
dro 궃
drw 굽
dru 궂
drn 궇
drv 궀
dok 갼
dof 갿
doj 걍
dos 걈
doi 걀
doc 쟎
dor 걑
dow 걉
dou 걎
doz 걒
dwk 균
dwj 귱
dwf 귣
dwl 귯
dwi 귤
dwm 귡
dwr 귵
dwo 귳
dwu 귲
dwn 귷
dwv 귰
duk 견
duf 겯
dus 겸
dul 겻
dui 결
duc 겮
